,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,pageview_sum,pageview_mean,PIE,PACE,SALARY,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
181,194,Norman Powell,SG,23,18.0,3.0,6.7,0.449,0.7,2.3,0.324,2.3,4.4,0.514,0.504,1.7,2.1,0.792,0.3,1.9,2.2,1.1,0.7,0.2,0.9,1.7,8.4,97588,267.3643835616438,8.7,97.93,,TOR,76,18.0,-0.24,-1.01,-1.25,1.63,49.0,18.0
182,195,Troy Daniels,SG,25,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.8,0.7959999999999999,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,63399,173.22131147540983,6.5,95.85,3332940.0,MEM,67,17.7,-0.02,-2.1,-2.12,0.72,30.0,10.0
183,196,Joe Harris,SG,25,21.9,3.0,7.0,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.5429999999999999,0.7,0.9,0.7140000000000001,0.3,2.5,2.8,1.0,0.6,0.2,1.1,2.3,8.2,2548,6.980821917808219,6.1,105.53,,BKN,52,21.9,-2.46,-1.73,-4.19,-0.82,0.0,0.0
184,197,Willy Hernangomez,C,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.5379999999999999,0.5329999999999999,1.3,1.7,0.728,2.4,4.6,7.0,1.3,0.6,0.5,1.4,2.1,8.2,325,2.8508771929824563,13.3,99.12,1435750.0,NY,72,18.4,-0.75,0.4,-0.35,2.37,0.0,55.5
185,198,Caris LeVert,SF,22,21.7,3.0,6.7,0.45,1.0,3.2,0.321,2.0,3.4,0.5710000000000001,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1.0,1.6,8.2,104435,285.3415300546448,8.6,104.52,1562280.0,BKN,57,21.7,-0.46,-0.84,-1.3,1.53,0.0,28.0
186,199,Shawn Long,C,24,13.0,3.4,6.1,0.56,0.4,1.1,0.368,3.0,5.0,0.6,0.5920000000000001,1.1,1.9,0.5429999999999999,2.3,2.4,4.7,0.7,0.5,0.5,0.7,2.7,8.2,12800,37.64705882352941,12.8,101.37,,PHI,18,13.0,-0.31,0.3,-0.01,0.47,,
187,200,Willie Cauley-Stein,C,23,18.9,3.4,6.4,0.53,0.0,0.0,0.0,3.4,6.4,0.532,0.53,1.3,2.0,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2.0,8.1,194957,532.6693989071039,10.6,96.91,3551160.0,SAC,75,18.9,-2.07,0.9,-1.17,1.72,0.0,17.0
188,201,Al Jefferson,C,32,14.1,3.6,7.1,0.499,0.0,0.0,0.0,3.6,7.1,0.5,0.499,1.0,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,220767,603.188524590164,13.3,96.89,10314532.0,IND,66,14.1,-1.0,-0.45,-1.45,0.98,,
189,202,Ben McLemore,SG,23,19.3,3.0,6.9,0.43,1.1,2.8,0.382,1.9,4.1,0.462,0.507,1.1,1.5,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1.0,1.8,8.1,121773,332.71311475409834,6.0,97.04,4008882.0,SAC,61,19.3,-2.88,-1.58,-4.46,-0.99,30.0,17.0
190,203,Tristan Thompson,C,25,29.9,3.4,5.6,0.6,0.0,0.0,0.0,3.4,5.6,0.604,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1.0,0.5,1.1,0.8,2.3,8.1,955613,2610.964480874317,8.9,98.28,15330435.0,CLE,78,29.9,-1.31,1.31,0.0,4.62,368.0,211.0
